date_id,year,month,day,weekofyear,weekday,is_weekend,is_holiday
2022-09-26,2022,9,26,39,0,0,0
2022-09-27,2022,9,27,39,1,0,0
2022-09-28,2022,9,28,39,2,0,0
2022-09-29,2022,9,29,39,3,0,0
2022-09-30,2022,9,30,39,4,0,0
2022-10-01,2022,10,1,39,5,1,0
2022-10-02,2022,10,2,39,6,1,0
2022-10-03,2022,10,3,40,0,0,0
2022-10-04,2022,10,4,40,1,0,0
2022-10-05,2022,10,5,40,2,0,0
2022-10-06,2022,10,6,40,3,0,0
2022-10-07,2022,10,7,40,4,0,0
2022-10-08,2022,10,8,40,5,1,0
2022-10-09,2022,10,9,40,6,1,0
2022-10-10,2022,10,10,41,0,0,0
2022-10-11,2022,10,11,41,1,0,0
2022-10-12,2022,10,12,41,2,0,0
2022-10-13,2022,10,13,41,3,0,0
2022-10-14,2022,10,14,41,4,0,0
2022-10-15,2022,10,15,41,5,1,0
2022-10-16,2022,10,16,41,6,1,0
2022-10-17,2022,10,17,42,0,0,0
2022-10-18,2022,10,18,42,1,0,0
2022-10-19,2022,10,19,42,2,0,0
2022-10-20,2022,10,20,42,3,0,0
2022-10-21,2022,10,21,42,4,0,0
2022-10-22,2022,10,22,42,5,1,0
2022-10-23,2022,10,23,42,6,1,0
2022-10-24,2022,10,24,43,0,0,0
2022-10-25,2022,10,25,43,1,0,0
2022-10-26,2022,10,26,43,2,0,0
2022-10-27,2022,10,27,43,3,0,0
2022-10-28,2022,10,28,43,4,0,0
2022-10-29,2022,10,29,43,5,1,0
2022-10-30,2022,10,30,43,6,1,0
2022-10-31,2022,10,31,44,0,0,0
2022-11-01,2022,11,1,44,1,0,0
2022-11-02,2022,11,2,44,2,0,0
2022-11-03,2022,11,3,44,3,0,0
2022-11-04,2022,11,4,44,4,0,0
2022-11-05,2022,11,5,44,5,1,0
2022-11-06,2022,11,6,44,6,1,0
2022-11-07,2022,11,7,45,0,0,0
2022-11-08,2022,11,8,45,1,0,0
2022-11-09,2022,11,9,45,2,0,0
2022-11-10,2022,11,10,45,3,0,0
2022-11-11,2022,11,11,45,4,0,0
2022-11-12,2022,11,12,45,5,1,0
2022-11-13,2022,11,13,45,6,1,0
2022-11-14,2022,11,14,46,0,0,0
2022-11-15,2022,11,15,46,1,0,0
2022-11-16,2022,11,16,46,2,0,0
2022-11-17,2022,11,17,46,3,0,0
2022-11-18,2022,11,18,46,4,0,0
2022-11-19,2022,11,19,46,5,1,0
2022-11-20,2022,11,20,46,6,1,0
2022-11-21,2022,11,21,47,0,0,0
2022-11-22,2022,11,22,47,1,0,0
2022-11-23,2022,11,23,47,2,0,0
2022-11-24,2022,11,24,47,3,0,0
2022-11-25,2022,11,25,47,4,0,0
2022-11-26,2022,11,26,47,5,1,0
2022-11-27,2022,11,27,47,6,1,0
2022-11-28,2022,11,28,48,0,0,0
2022-11-29,2022,11,29,48,1,0,0
2022-11-30,2022,11,30,48,2,0,0
2022-12-01,2022,12,1,48,3,0,0
2022-12-02,2022,12,2,48,4,0,0
2022-12-03,2022,12,3,48,5,1,0
2022-12-04,2022,12,4,48,6,1,0
2022-12-05,2022,12,5,49,0,0,0
2022-12-06,2022,12,6,49,1,0,0
2022-12-07,2022,12,7,49,2,0,0
2022-12-08,2022,12,8,49,3,0,0
2022-12-09,2022,12,9,49,4,0,0
2022-12-10,2022,12,10,49,5,1,0
2022-12-11,2022,12,11,49,6,1,0
2022-12-12,2022,12,12,50,0,0,0
2022-12-13,2022,12,13,50,1,0,0
2022-12-14,2022,12,14,50,2,0,0
2022-12-15,2022,12,15,50,3,0,0
2022-12-16,2022,12,16,50,4,0,0
2022-12-17,2022,12,17,50,5,1,0
2022-12-18,2022,12,18,50,6,1,0
2022-12-19,2022,12,19,51,0,0,0
2022-12-20,2022,12,20,51,1,0,0
2022-12-21,2022,12,21,51,2,0,0
2022-12-22,2022,12,22,51,3,0,0
2022-12-23,2022,12,23,51,4,0,0
2022-12-24,2022,12,24,51,5,1,0
2022-12-25,2022,12,25,51,6,1,1
2022-12-26,2022,12,26,52,0,0,1
2022-12-27,2022,12,27,52,1,0,0
2022-12-28,2022,12,28,52,2,0,0
2022-12-29,2022,12,29,52,3,0,0
2022-12-30,2022,12,30,52,4,0,0
2022-12-31,2022,12,31,52,5,1,0
2023-01-01,2023,1,1,52,6,1,1
2023-01-02,2023,1,2,1,0,0,0
2023-01-03,2023,1,3,1,1,0,0
2023-01-04,2023,1,4,1,2,0,0
2023-01-05,2023,1,5,1,3,0,0
2023-01-06,2023,1,6,1,4,0,0
2023-01-07,2023,1,7,1,5,1,0
2023-01-08,2023,1,8,1,6,1,0
2023-01-09,2023,1,9,2,0,0,0
2023-01-10,2023,1,10,2,1,0,0
2023-01-11,2023,1,11,2,2,0,0
2023-01-12,2023,1,12,2,3,0,0
2023-01-13,2023,1,13,2,4,0,0
2023-01-14,2023,1,14,2,5,1,0
2023-01-15,2023,1,15,2,6,1,0
2023-01-16,2023,1,16,3,0,0,0
2023-01-17,2023,1,17,3,1,0,0
2023-01-18,2023,1,18,3,2,0,0
2023-01-19,2023,1,19,3,3,0,0
2023-01-20,2023,1,20,3,4,0,0
2023-01-21,2023,1,21,3,5,1,0
2023-01-22,2023,1,22,3,6,1,0
2023-01-23,2023,1,23,4,0,0,0
2023-01-24,2023,1,24,4,1,0,0
2023-01-25,2023,1,25,4,2,0,0
2023-01-26,2023,1,26,4,3,0,0
2023-01-27,2023,1,27,4,4,0,0
2023-01-28,2023,1,28,4,5,1,0
2023-01-29,2023,1,29,4,6,1,0
2023-01-30,2023,1,30,5,0,0,0
2023-01-31,2023,1,31,5,1,0,0
2023-02-01,2023,2,1,5,2,0,0
2023-02-02,2023,2,2,5,3,0,0
2023-02-03,2023,2,3,5,4,0,0
2023-02-04,2023,2,4,5,5,1,0
2023-02-05,2023,2,5,5,6,1,0
2023-02-06,2023,2,6,6,0,0,0
2023-02-07,2023,2,7,6,1,0,0
2023-02-08,2023,2,8,6,2,0,0
2023-02-09,2023,2,9,6,3,0,0
2023-02-10,2023,2,10,6,4,0,0
2023-02-11,2023,2,11,6,5,1,0
2023-02-12,2023,2,12,6,6,1,0
2023-02-13,2023,2,13,7,0,0,0
2023-02-14,2023,2,14,7,1,0,0
2023-02-15,2023,2,15,7,2,0,0
2023-02-16,2023,2,16,7,3,0,0
2023-02-17,2023,2,17,7,4,0,0
2023-02-18,2023,2,18,7,5,1,0
2023-02-19,2023,2,19,7,6,1,0
2023-02-20,2023,2,20,8,0,0,0
2023-02-21,2023,2,21,8,1,0,0
2023-02-22,2023,2,22,8,2,0,0
2023-02-23,2023,2,23,8,3,0,0
2023-02-24,2023,2,24,8,4,0,0
2023-02-25,2023,2,25,8,5,1,0
2023-02-26,2023,2,26,8,6,1,0
2023-02-27,2023,2,27,9,0,0,0
2023-02-28,2023,2,28,9,1,0,0
2023-03-01,2023,3,1,9,2,0,0
2023-03-02,2023,3,2,9,3,0,0
2023-03-03,2023,3,3,9,4,0,0
2023-03-04,2023,3,4,9,5,1,0
2023-03-05,2023,3,5,9,6,1,0
2023-03-06,2023,3,6,10,0,0,0
2023-03-07,2023,3,7,10,1,0,0
2023-03-08,2023,3,8,10,2,0,0
2023-03-09,2023,3,9,10,3,0,0
2023-03-10,2023,3,10,10,4,0,0
2023-03-11,2023,3,11,10,5,1,0
2023-03-12,2023,3,12,10,6,1,0
2023-03-13,2023,3,13,11,0,0,0
2023-03-14,2023,3,14,11,1,0,0
2023-03-15,2023,3,15,11,2,0,0
2023-03-16,2023,3,16,11,3,0,0
2023-03-17,2023,3,17,11,4,0,0
2023-03-18,2023,3,18,11,5,1,0
2023-03-19,2023,3,19,11,6,1,0
2023-03-20,2023,3,20,12,0,0,0
2023-03-21,2023,3,21,12,1,0,0
2023-03-22,2023,3,22,12,2,0,0
2023-03-23,2023,3,23,12,3,0,0
2023-03-24,2023,3,24,12,4,0,0
2023-03-25,2023,3,25,12,5,1,0
2023-03-26,2023,3,26,12,6,1,0
2023-03-27,2023,3,27,13,0,0,0
2023-03-28,2023,3,28,13,1,0,0
2023-03-29,2023,3,29,13,2,0,0
2023-03-30,2023,3,30,13,3,0,0
2023-03-31,2023,3,31,13,4,0,0
2023-04-01,2023,4,1,13,5,1,0
2023-04-02,2023,4,2,13,6,1,0
2023-04-03,2023,4,3,14,0,0,0
2023-04-04,2023,4,4,14,1,0,0
2023-04-05,2023,4,5,14,2,0,0
2023-04-06,2023,4,6,14,3,0,0
2023-04-07,2023,4,7,14,4,0,0
2023-04-08,2023,4,8,14,5,1,0
2023-04-09,2023,4,9,14,6,1,0
2023-04-10,2023,4,10,15,0,0,0
2023-04-11,2023,4,11,15,1,0,0
2023-04-12,2023,4,12,15,2,0,0
2023-04-13,2023,4,13,15,3,0,0
2023-04-14,2023,4,14,15,4,0,0
2023-04-15,2023,4,15,15,5,1,0
2023-04-16,2023,4,16,15,6,1,0
2023-04-17,2023,4,17,16,0,0,0
2023-04-18,2023,4,18,16,1,0,0
2023-04-19,2023,4,19,16,2,0,0
2023-04-20,2023,4,20,16,3,0,0
2023-04-21,2023,4,21,16,4,0,0
2023-04-22,2023,4,22,16,5,1,0
2023-04-23,2023,4,23,16,6,1,0
2023-04-24,2023,4,24,17,0,0,0
2023-04-25,2023,4,25,17,1,0,0
2023-04-26,2023,4,26,17,2,0,0
2023-04-27,2023,4,27,17,3,0,0
2023-04-28,2023,4,28,17,4,0,0
2023-04-29,2023,4,29,17,5,1,0
2023-04-30,2023,4,30,17,6,1,0
2023-05-01,2023,5,1,18,0,0,1
2023-05-02,2023,5,2,18,1,0,0
2023-05-03,2023,5,3,18,2,0,0
2023-05-04,2023,5,4,18,3,0,0
2023-05-05,2023,5,5,18,4,0,0
2023-05-06,2023,5,6,18,5,1,0
2023-05-07,2023,5,7,18,6,1,0
2023-05-08,2023,5,8,19,0,0,0
2023-05-09,2023,5,9,19,1,0,0
2023-05-10,2023,5,10,19,2,0,0
2023-05-11,2023,5,11,19,3,0,0
2023-05-12,2023,5,12,19,4,0,0
2023-05-13,2023,5,13,19,5,1,0
2023-05-14,2023,5,14,19,6,1,0
2023-05-15,2023,5,15,20,0,0,0
2023-05-16,2023,5,16,20,1,0,0
2023-05-17,2023,5,17,20,2,0,0
2023-05-18,2023,5,18,20,3,0,0
2023-05-19,2023,5,19,20,4,0,0
2023-05-20,2023,5,20,20,5,1,0
2023-05-21,2023,5,21,20,6,1,0
2023-05-22,2023,5,22,21,0,0,0
2023-05-23,2023,5,23,21,1,0,0
2023-05-24,2023,5,24,21,2,0,0
2023-05-25,2023,5,25,21,3,0,0
2023-05-26,2023,5,26,21,4,0,0
2023-05-27,2023,5,27,21,5,1,0
2023-05-28,2023,5,28,21,6,1,0
2023-05-29,2023,5,29,22,0,0,0
2023-05-30,2023,5,30,22,1,0,0
2023-05-31,2023,5,31,22,2,0,0
2023-06-01,2023,6,1,22,3,0,0
2023-06-02,2023,6,2,22,4,0,0
2023-06-03,2023,6,3,22,5,1,0
2023-06-04,2023,6,4,22,6,1,0
2023-06-05,2023,6,5,23,0,0,0
2023-06-06,2023,6,6,23,1,0,0
2023-06-07,2023,6,7,23,2,0,0
2023-06-08,2023,6,8,23,3,0,0
2023-06-09,2023,6,9,23,4,0,0
2023-06-10,2023,6,10,23,5,1,0
2023-06-11,2023,6,11,23,6,1,0
2023-06-12,2023,6,12,24,0,0,0
2023-06-13,2023,6,13,24,1,0,0
2023-06-14,2023,6,14,24,2,0,0
2023-06-15,2023,6,15,24,3,0,0
2023-06-16,2023,6,16,24,4,0,0
2023-06-17,2023,6,17,24,5,1,0
2023-06-18,2023,6,18,24,6,1,0
2023-06-19,2023,6,19,25,0,0,0
2023-06-20,2023,6,20,25,1,0,0
2023-06-21,2023,6,21,25,2,0,0
2023-06-22,2023,6,22,25,3,0,0
2023-06-23,2023,6,23,25,4,0,0
2023-06-24,2023,6,24,25,5,1,0
2023-06-25,2023,6,25,25,6,1,0
2023-06-26,2023,6,26,26,0,0,0
2023-06-27,2023,6,27,26,1,0,0
2023-06-28,2023,6,28,26,2,0,0
2023-06-29,2023,6,29,26,3,0,0
2023-06-30,2023,6,30,26,4,0,0
2023-07-01,2023,7,1,26,5,1,0
2023-07-02,2023,7,2,26,6,1,0
2023-07-03,2023,7,3,27,0,0,0
2023-07-04,2023,7,4,27,1,0,0
2023-07-05,2023,7,5,27,2,0,0
2023-07-06,2023,7,6,27,3,0,0
2023-07-07,2023,7,7,27,4,0,0
2023-07-08,2023,7,8,27,5,1,0
2023-07-09,2023,7,9,27,6,1,0
2023-07-10,2023,7,10,28,0,0,0
2023-07-11,2023,7,11,28,1,0,0
2023-07-12,2023,7,12,28,2,0,0
2023-07-13,2023,7,13,28,3,0,0
2023-07-14,2023,7,14,28,4,0,0
2023-07-15,2023,7,15,28,5,1,0
2023-07-16,2023,7,16,28,6,1,0
2023-07-17,2023,7,17,29,0,0,0
2023-07-18,2023,7,18,29,1,0,0
2023-07-19,2023,7,19,29,2,0,0
2023-07-20,2023,7,20,29,3,0,0
2023-07-21,2023,7,21,29,4,0,0
2023-07-22,2023,7,22,29,5,1,0
2023-07-23,2023,7,23,29,6,1,0
2023-07-24,2023,7,24,30,0,0,0
2023-07-25,2023,7,25,30,1,0,0
2023-07-26,2023,7,26,30,2,0,0
2023-07-27,2023,7,27,30,3,0,0
2023-07-28,2023,7,28,30,4,0,0
2023-07-29,2023,7,29,30,5,1,0
2023-07-30,2023,7,30,30,6,1,0
2023-07-31,2023,7,31,31,0,0,0
2023-08-01,2023,8,1,31,1,0,0
2023-08-02,2023,8,2,31,2,0,0
2023-08-03,2023,8,3,31,3,0,0
2023-08-04,2023,8,4,31,4,0,0
2023-08-05,2023,8,5,31,5,1,0
2023-08-06,2023,8,6,31,6,1,0
2023-08-07,2023,8,7,32,0,0,0
2023-08-08,2023,8,8,32,1,0,0
2023-08-09,2023,8,9,32,2,0,0
2023-08-10,2023,8,10,32,3,0,0
2023-08-11,2023,8,11,32,4,0,0
2023-08-12,2023,8,12,32,5,1,0
2023-08-13,2023,8,13,32,6,1,0
2023-08-14,2023,8,14,33,0,0,0
2023-08-15,2023,8,15,33,1,0,1
2023-08-16,2023,8,16,33,2,0,0
2023-08-17,2023,8,17,33,3,0,0
2023-08-18,2023,8,18,33,4,0,0
2023-08-19,2023,8,19,33,5,1,0
2023-08-20,2023,8,20,33,6,1,0
2023-08-21,2023,8,21,34,0,0,0
2023-08-22,2023,8,22,34,1,0,0
2023-08-23,2023,8,23,34,2,0,0
2023-08-24,2023,8,24,34,3,0,0
2023-08-25,2023,8,25,34,4,0,0
2023-08-26,2023,8,26,34,5,1,0
2023-08-27,2023,8,27,34,6,1,0
2023-08-28,2023,8,28,35,0,0,0
2023-08-29,2023,8,29,35,1,0,0
2023-08-30,2023,8,30,35,2,0,0
2023-08-31,2023,8,31,35,3,0,0
2023-09-01,2023,9,1,35,4,0,0
2023-09-02,2023,9,2,35,5,1,0
2023-09-03,2023,9,3,35,6,1,0
2023-09-04,2023,9,4,36,0,0,0
2023-09-05,2023,9,5,36,1,0,0
2023-09-06,2023,9,6,36,2,0,0
2023-09-07,2023,9,7,36,3,0,0
2023-09-08,2023,9,8,36,4,0,0
2023-09-09,2023,9,9,36,5,1,0
2023-09-10,2023,9,10,36,6,1,0
2023-09-11,2023,9,11,37,0,0,0
2023-09-12,2023,9,12,37,1,0,0
2023-09-13,2023,9,13,37,2,0,0
2023-09-14,2023,9,14,37,3,0,0
2023-09-15,2023,9,15,37,4,0,0
2023-09-16,2023,9,16,37,5,1,0
2023-09-17,2023,9,17,37,6,1,0
2023-09-18,2023,9,18,38,0,0,0
2023-09-19,2023,9,19,38,1,0,0
2023-09-20,2023,9,20,38,2,0,0
2023-09-21,2023,9,21,38,3,0,0
2023-09-22,2023,9,22,38,4,0,0
2023-09-23,2023,9,23,38,5,1,0
2023-09-24,2023,9,24,38,6,1,0
2023-09-25,2023,9,25,39,0,0,0
2023-09-26,2023,9,26,39,1,0,0
2023-09-27,2023,9,27,39,2,0,0
2023-09-28,2023,9,28,39,3,0,0
2023-09-29,2023,9,29,39,4,0,0
2023-09-30,2023,9,30,39,5,1,0
2023-10-01,2023,10,1,39,6,1,0
2023-10-02,2023,10,2,40,0,0,0
2023-10-03,2023,10,3,40,1,0,0
2023-10-04,2023,10,4,40,2,0,0
2023-10-05,2023,10,5,40,3,0,0
2023-10-06,2023,10,6,40,4,0,0
2023-10-07,2023,10,7,40,5,1,0
2023-10-08,2023,10,8,40,6,1,0
2023-10-09,2023,10,9,41,0,0,0
2023-10-10,2023,10,10,41,1,0,0
2023-10-11,2023,10,11,41,2,0,0
2023-10-12,2023,10,12,41,3,0,0
2023-10-13,2023,10,13,41,4,0,0
2023-10-14,2023,10,14,41,5,1,0
2023-10-15,2023,10,15,41,6,1,0
2023-10-16,2023,10,16,42,0,0,0
2023-10-17,2023,10,17,42,1,0,0
2023-10-18,2023,10,18,42,2,0,0
2023-10-19,2023,10,19,42,3,0,0
2023-10-20,2023,10,20,42,4,0,0
2023-10-21,2023,10,21,42,5,1,0
2023-10-22,2023,10,22,42,6,1,0
2023-10-23,2023,10,23,43,0,0,0
2023-10-24,2023,10,24,43,1,0,0
2023-10-25,2023,10,25,43,2,0,0
2023-10-26,2023,10,26,43,3,0,0
2023-10-27,2023,10,27,43,4,0,0
2023-10-28,2023,10,28,43,5,1,0
2023-10-29,2023,10,29,43,6,1,0
2023-10-30,2023,10,30,44,0,0,0
2023-10-31,2023,10,31,44,1,0,0
2023-11-01,2023,11,1,44,2,0,0
2023-11-02,2023,11,2,44,3,0,0
2023-11-03,2023,11,3,44,4,0,0
2023-11-04,2023,11,4,44,5,1,0
2023-11-05,2023,11,5,44,6,1,0
2023-11-06,2023,11,6,45,0,0,0
2023-11-07,2023,11,7,45,1,0,0
2023-11-08,2023,11,8,45,2,0,0
2023-11-09,2023,11,9,45,3,0,0
2023-11-10,2023,11,10,45,4,0,0
2023-11-11,2023,11,11,45,5,1,0
2023-11-12,2023,11,12,45,6,1,0
2023-11-13,2023,11,13,46,0,0,0
2023-11-14,2023,11,14,46,1,0,0
2023-11-15,2023,11,15,46,2,0,0
2023-11-16,2023,11,16,46,3,0,0
2023-11-17,2023,11,17,46,4,0,0
2023-11-18,2023,11,18,46,5,1,0
2023-11-19,2023,11,19,46,6,1,0
2023-11-20,2023,11,20,47,0,0,0
2023-11-21,2023,11,21,47,1,0,0
2023-11-22,2023,11,22,47,2,0,0
2023-11-23,2023,11,23,47,3,0,0
2023-11-24,2023,11,24,47,4,0,0
2023-11-25,2023,11,25,47,5,1,0
2023-11-26,2023,11,26,47,6,1,0
2023-11-27,2023,11,27,48,0,0,0
2023-11-28,2023,11,28,48,1,0,0
2023-11-29,2023,11,29,48,2,0,0
2023-11-30,2023,11,30,48,3,0,0
2023-12-01,2023,12,1,48,4,0,0
2023-12-02,2023,12,2,48,5,1,0
2023-12-03,2023,12,3,48,6,1,0
2023-12-04,2023,12,4,49,0,0,0
2023-12-05,2023,12,5,49,1,0,0
2023-12-06,2023,12,6,49,2,0,0
2023-12-07,2023,12,7,49,3,0,0
2023-12-08,2023,12,8,49,4,0,0
2023-12-09,2023,12,9,49,5,1,0
2023-12-10,2023,12,10,49,6,1,0
2023-12-11,2023,12,11,50,0,0,0
2023-12-12,2023,12,12,50,1,0,0
2023-12-13,2023,12,13,50,2,0,0
2023-12-14,2023,12,14,50,3,0,0
2023-12-15,2023,12,15,50,4,0,0
2023-12-16,2023,12,16,50,5,1,0
2023-12-17,2023,12,17,50,6,1,0
2023-12-18,2023,12,18,51,0,0,0
2023-12-19,2023,12,19,51,1,0,0
2023-12-20,2023,12,20,51,2,0,0
2023-12-21,2023,12,21,51,3,0,0
2023-12-22,2023,12,22,51,4,0,0
2023-12-23,2023,12,23,51,5,1,0
2023-12-24,2023,12,24,51,6,1,0
2023-12-25,2023,12,25,52,0,0,1
2023-12-26,2023,12,26,52,1,0,1
2023-12-27,2023,12,27,52,2,0,0
2023-12-28,2023,12,28,52,3,0,0
2023-12-29,2023,12,29,52,4,0,0
2023-12-30,2023,12,30,52,5,1,0
2023-12-31,2023,12,31,52,6,1,0
